Category: All categories

Region,vape: (17/06/2020 - 17/06/2021)
Vermont,100
Hawaii,93
Idaho,79
Utah,73
Kentucky,72
North Dakota,69
Arkansas,69
Oklahoma,69
New Hampshire,66
Tennessee,66
Alaska,64
South Carolina,61
Louisiana,59
Oregon,59
Mississippi,59
Indiana,58
West Virginia,58
Michigan,57
Wyoming,57
North Carolina,56
Ohio,55
New Mexico,55
Alabama,55
Delaware,55
Iowa,55
Nebraska,53
South Dakota,52
Minnesota,50
Colorado,50
Georgia,47
Wisconsin,47
Kansas,47
Washington,46
Pennsylvania,45
Missouri,45
Massachusetts,45
Arizona,44
Maryland,43
Florida,41
Montana,40
Illinois,38
Texas,38
Maine,37
Nevada,37
California,36
Connecticut,34
Virginia,34
New Jersey,32
New York,32
Rhode Island,30
District of Columbia,29
