"author_channel_ID","author_number"
"UC--AnQ8faxJaNU3XnoY-HsQ","0011725"
"UC--HwvFYKRMsy722bQ0GsYQ","0002108"
"UC--QmgUn69TNnNbt63-5rlg","0012328"
"UC-00q737d8jyKLDMcnDmaLg","0020302"
"UC-02Xl5OQIwhLK_RNVr4p7g","0012483"
"UC-0E1SaGpLtl3bGZLKQ42gA","0008354"
"UC-0Emj2i65ORWSADFTWQ1HQ","0018117"
"UC-0Yu0d2e1HzR7TkIfYKiIA","0011119"
"UC-0Z7eQ2xeF7qb5HjWh4IIA","0015639"
"UC-0kdlNodJFUK28bNks4jww","0003657"
"UC-0xltC2a-V2mVp_h_UJBoA","0008803"
"UC-10rpwqio-exPrVhO-qVvw","0020358"
"UC-1Q7lNZaEFHdnklPTF2Log","0000028"
"UC-1x7yZkoNaKTalC0WkPFdw","0018762"
"UC-2IDNUKO7iKftwPURsQZ-A","0011715"
"UC-2IeqWniBiLv5h5cGXVpXA","0020563"
"UC-2K_FTS2DiziBAwDDF9gFA","0022140"
"UC-2brm49Fjn7VjGtHLrMA5Q","0015925"
"UC-2xSnX5z2I_vd8fXz7uuHQ","0014567"
"UC-3NUo6CJYPNk5caflSQD9g","0005998"
"UC-3i6KgsAQf0ugay0257ZhQ","0014513"
"UC-40aUkLd8xBlsRyjNzl_3Q","0001639"
"UC-47kTI5J0cVyoUTFpkNYXA","0006187"
"UC-49AEjnmnarxsTBVb64Plg","0002989"
"UC-49oyG-D2sbAHOuGFawF0g","0005016"
"UC-4Aw1tc8p0d-ex14G93dSg","0005899"
"UC-4DwnA81TBTugWokOHun1A","0015189"
"UC-4E_u2rhTfA21ZuaFsju8Q","0011276"
"UC-4PxCoCFvk4HIS2mbHTECQ","0022973"
"UC-4YvDpWonPXceDjrsrRxzA","0007672"
"UC-5-tIykOhQoIA5VXfMPn4g","0018985"
"UC-5Aqez4F4Zy8K82VtAcvWw","0002824"
"UC-5YSXLMWV0piQYC1XYj7nQ","0007067"
"UC-5mdBw140setWBDxq0ZxJQ","0022325"
"UC-5oNswWq4t_psPyo7N5C3A","0000373"
"UC-5tu_GYi3m2p9xotiD3BlQ","0012068"
"UC-6ErJ-6JLqy4CZvQn7EDvg","0019286"
"UC-6zg-tuhUAtmvvkF__FEBw","0013831"
"UC-74GOmQMKIDdCvU2CpvbgQ","0001729"
"UC-79WOtw7GGrKqSAwG5diaw","0004122"
"UC-79hSajlW2UWF0ojbDjbBw","0003696"
"UC-7F9qwDW0XHXCKItdPkhhw","0005816"
"UC-7NtWqdU_Xhevtz7P93Xww","0018566"
"UC-7ZG7oh2Vhf4HXMIIXEg0g","0020805"
"UC-7fjmh8016tMkw4u6N3Ebg","0004881"
"UC-7rsHlKIr_IFt9XhqpspeA","0000102"
"UC-8GRk7Muq-g5g4TeG0XQ_g","0006781"
"UC-8Ww1pm698Ed4l3wqwvbAQ","0015131"
"UC-8dtK1cDz6Ux4EgP44Xi6w","0000214"
"UC-8gKSiRYptpfv1lddCHWQw","0012637"
"UC-8pZxBeSt3OwL9StbTYX_Q","0004815"
"UC-8s0FJjAX0S4UzuAKOlwGA","0019017"
"UC-91kKiGF1bTqopqncoNcOA","0003893"
"UC-93D-42PT9iiJrE7KHHCYg","0010788"
"UC-9BLAt4TsYAVwd2Kp6WBTA","0002854"
"UC-9DWV_xRM84OYQi2A4WP1g","0015442"
"UC-9oCF-KzcDoQzCBvVUk-wQ","0017716"
"UC-9of_40dtNRJ1EgeMcNxPA","0016686"
"UC-9xax5LIyRf1u7-V3xUIzA","0001297"
"UC-A9AQ_WRUACS7yywmUr-DA","0013747"
"UC-ACww6_Apw9S-YvXM5SjIA","0017764"
"UC-AHRoie2V2vdtsoIxfuvPA","0013484"
"UC-AmsuXVdxu_XakgoYPeSPw","0001209"
"UC-Aqd8xwD4btxOxo91-DhHA","0021753"
"UC-ArijE07o0R6oeJbK50pDg","0000953"
"UC-AwiU2vA2zhz4POXwwizaQ","0014593"
"UC-AyIhYF5GnXUTzzXpxEU6w","0004057"
"UC-B4GKL2_ON_tAU2d005cUw","0017617"
"UC-Ba__wlToduxfJgPa7EdEQ","0014271"
"UC-Bah8nH7fmVXBGNITJ9TAg","0013847"
"UC-Bc1UcVPIN0_rd3-7J8fRw","0015930"
"UC-BmFlxyb9XkvkNIXxomSGQ","0019448"
"UC-BnmmzJ-wFOIDXOf0ZdO_g","0006102"
"UC-BpwkCVlvl9Z5xRAuh-hiA","0001702"
"UC-C1XmzFXR2n4kspzXmV5Yw","0005072"
"UC-C1mjQ92j2zwyR8ctNFPOw","0021320"
"UC-C5ucvbkFAV-lYr2pEaWow","0011684"
"UC-CMaCilIhFqAMOVJTIOhBQ","0017498"
"UC-CMkPgoo8P_RvrDYvNuJgw","0000543"
"UC-Cfb13w1w8G0WsKBON4qLA","0003424"
"UC-Cgz3duoqwAi94kAvJAjIw","0008643"
"UC-CiZtoucMhqt2CYqRJzJFA","0003203"
"UC-CoLkABmTVM6cQj9ICgl1Q","0004639"
"UC-CsHz8bzYfAFd10c21lqSg","0012868"
"UC-CtDSzp_5iE3xzQC56Sayg","0017753"
"UC-Cz_f-eC6E9aWjxVLB6y1w","0004583"
"UC-DCbkMQrxdMWe_nAd9J6nQ","0021845"
"UC-DImDAljxpXgTXjGl5_QxQ","0003844"
"UC-DKa6hdL1mUyhtHTbJ57DQ","0006692"
"UC-DSNcRV2K7RXdqzc6_OWmg","0009886"
"UC-DaWkeLcL1o6JhlRmt9h4g","0010453"
"UC-DiExK4GAp15J4bEQSFpBQ","0008629"
"UC-DvSvpNHNYsUVMOpWTFrvg","0006025"
"UC-EC1gTW80OkkGWmcEbEJ7Q","0018529"
"UC-EIqnBIIdXklknG_uncSfQ","0022792"
"UC-EMGqenZmbVNdf_DIQc67A","0013498"
"UC-ER46fntgWxXHgq1taarPQ","0023076"
"UC-EbHLk6ZJ5EqUuTF_sw2QA","0001305"
"UC-FR48v_Fph0ns7lj_BrwlA","0005341"
"UC-FUWixWsIXdLTJgNKr9MVA","0003298"
"UC-FZkMx-nUaC3CayVBTsgPA","0014979"
"UC-Fd064IfsMNbrpa5sZ7FXg","0010815"
"UC-G-AN2MQyvc-AQRRkR4zGQ","0023044"
"UC-GDISVC4ILI6m8AVBofITQ","0003373"
"UC-GaI__zaKwTic7p76eqb0A","0008154"
"UC-H703IB-kRDZm-gnX3Sh5w","0013199"
"UC-H81nu0T-VTq_7UUsIceFg","0008119"
"UC-I4I8NxwHEUaethlklpq-Q","0009043"
"UC-IbNLENwJVgr4Zk_xlca_Q","0011943"
"UC-IqB1ucEXNba_Z-yYS0bqA","0012174"
"UC-J2fGEyO3NzVbFRWk714zw","0004635"
"UC-J3YBqOpLQhM7JSvCnCzVw","0020642"
"UC-J4n-46MyrdNvwt6TLCdMw","0020843"
"UC-JKmxYpIX9ikRmgWHYGnig","0022832"
"UC-JMb8AXEHplJ_qUm3pR9dw","0005410"
"UC-J_a8xWwqxkUnLvrm0jnTQ","0018742"
"UC-Jcb2XTV_NNoXuuaIUgSsQ","0022610"
"UC-JevT67R4dUOXNBnHOuKew","0005995"
"UC-JvtUEHCcsCWS214BUskhg","0003169"
"UC-K3lcDbztX-HtCT8QALMPA","0018939"
"UC-K3s9ksMXvVw9LBGA39QvQ","0013803"
"UC-K7yWDs4iMwymGvFJgOXTQ","0021990"
"UC-KAW_7c8qwyd70xMd2M26g","0001892"
"UC-KO8ALqPzu4XP8TPPExWNA","0006156"
"UC-KOx0RB8jo4tVXn0NUZIoA","0011507"
"UC-KPnZA1-OunQx6E_mmvtWQ","0020035"
"UC-KTQ8W-GdnIjc5pBqbHoSg","0021685"
"UC-KkzeloJrLXJkTxgjBqDbQ","0019773"
"UC-L1q9LwyJfFmtCvUeKeJqw","0017370"
"UC-LBec_4xPrruiZovrxikqg","0020105"
"UC-LDIbIe9MlqSwwDbpIew6g","0004812"
"UC-LEAy3TiysdR3jwNteIZnA","0007528"
"UC-LKJGAvofcDuecHz0noG3g","0007541"
"UC-LNadQ-x0d61SKs_sO6WhQ","0007973"
"UC-LQUJBAlgFmAR2umM30p9Q","0011082"
"UC-LeUC36Rz2aUWH_K7x7ZVw","0013557"
"UC-Lh_OjlgWtjm9NUJpZbzNg","0011604"
"UC-LywPAqG9TLKlTKwB91IsQ","0010339"
"UC-LzYF_mFtR7f_8bQ_ev-qg","0006382"
"UC-M-JQe_Sx1wtV_40Jog2Pg","0002450"
"UC-MFFKodbJYaEih2c5dFw0A","0001571"
"UC-MSq4qu9w0m7Ia2jo24zHQ","0019435"
"UC-MdmkuU7aKt1z2DBtFNdFw","0021280"
"UC-Mxd6wFdCdLmQD080h_iTw","0019923"
"UC-N6AAzT9H3e_4Ctgj6joow","0006216"
"UC-N9kqLDAH_eoNRTnEOhyvw","0020463"
"UC-NT5DRuFU5Rq42vh3HdbRA","0020724"
"UC-NamH7NgU3USl_4Kzc2qsw","0006161"
