"comment_ID","comment_number"
"Ugg-AoxG18MV93gCoAEC","0012593"
"Ugg-XVtTOe2Yx3gCoAEC","0017196"
"Ugg-XVtTOe2Yx3gCoAEC.8AQ1Fqz6O6l8D_neW_TUBq","0017199"
"Ugg-XVtTOe2Yx3gCoAEC.8AQ1Fqz6O6l8Da3NUl_g7x","0017198"
"Ugg-XVtTOe2Yx3gCoAEC.8AQ1Fqz6O6l8DkfyoYmI2v","0017197"
"Ugg-dQBOo7gAZHgCoAEC","0012611"
"Ugg-ikwtgLm15ngCoAEC","0024378"
"Ugg-qnUKdaVyW3gCoAEC","0012563"
"Ugg-qnUKdaVyW3gCoAEC.88_Stzp5hEr8EBXytubtjh","0012568"
"Ugg-qnUKdaVyW3gCoAEC.88_Stzp5hEr8LFZ1J92D2I","0012567"
"Ugg-qnUKdaVyW3gCoAEC.88_Stzp5hEr8LVVJkiHIWg","0012566"
"Ugg-qnUKdaVyW3gCoAEC.88_Stzp5hEr8bU0Sqr_xER","0012565"
"Ugg-qnUKdaVyW3gCoAEC.88_Stzp5hEr8bU0V4U9sAQ","0012564"
"Ugg079uhngX_GXgCoAEC","0029313"
"Ugg0Qwb5XYTJ9ngCoAEC","0017083"
"Ugg0Qwb5XYTJ9ngCoAEC.8SK-QsHrjgu9MrIaHxH6Fh","0017084"
"Ugg0UBLq919EhXgCoAEC","0017000"
"Ugg0g89LsRR3YHgCoAEC","0032149"
"Ugg0gaZRiIqsjXgCoAEC","0005715"
"Ugg0gaZRiIqsjXgCoAEC.8-WyLPoXzC687HWNfPmukG","0005716"
"Ugg0oXg8gSCxAHgCoAEC","0030230"
"Ugg1TZibCkrDd3gCoAEC","0030310"
"Ugg1TZibCkrDd3gCoAEC.86Uq43CYE4B88ygxrsiBmD","0030311"
"Ugg2J1qlLP6SD3gCoAEC","0005771"
"Ugg2J1qlLP6SD3gCoAEC.7-H0Z7--BL87-QODxqjZZZ","0005772"
"Ugg2VzvrLVBXJngCoAEC","0010922"
"Ugg2rfsra5cejXgCoAEC","0019691"
"Ugg2rfsra5cejXgCoAEC.89_EpYSMhel89_EzWufdhB","0019693"
"Ugg2rfsra5cejXgCoAEC.89_EpYSMhel89_JqXBP6bT","0019692"
"Ugg2stRlVGxXD3gCoAEC","0030264"
"Ugg3E-wINpEVBXgCoAEC","0012560"
"Ugg3ZtxjoB2k6HgCoAEC","0029293"
"Ugg3wPlVG78SCHgCoAEC","0030313"
"Ugg3zXuQSnPREHgCoAEC","0029284"
"Ugg4cBI_nDNm5ngCoAEC","0006472"
"Ugg4k3r8-oeexXgCoAEC","0012574"
"Ugg4lebqCvsnZXgCoAEC","0006473"
"Ugg4uiv7v3HunngCoAEC","0022122"
"Ugg4uiv7v3HunngCoAEC.8GEAmF-JDcJ8GFiHxBmOqV","0022126"
"Ugg4uiv7v3HunngCoAEC.8GEAmF-JDcJ8KBXiZWqyW0","0022125"
"Ugg4uiv7v3HunngCoAEC.8GEAmF-JDcJ8RxYG-LJL2i","0022124"
"Ugg4uiv7v3HunngCoAEC.8GEAmF-JDcJ8XlN2BPxvCV","0022123"
"Ugg5FyVMBZFlcXgCoAEC","0030295"
"Ugg5FyVMBZFlcXgCoAEC.87RKyr6Rilh87TNh7qB-yE","0030299"
"Ugg5FyVMBZFlcXgCoAEC.87RKyr6Rilh8BE8JWQd7zB","0030298"
"Ugg5FyVMBZFlcXgCoAEC.87RKyr6Rilh8BE8Kp1TFmE","0030297"
"Ugg5FyVMBZFlcXgCoAEC.87RKyr6Rilh8Bj0whULNx4","0030296"
"Ugg5GLHjCqW2PHgCoAEC","0030336"
"Ugg5KzPWKZvjcngCoAEC","0024412"
"Ugg5U2p6iLumhngCoAEC","0029276"
"Ugg5i9rk-OdCJ3gCoAEC","0006504"
