"comment_thread_ID","comment_thread_number"
"Ugg-ikwtgLm15ngCoAEC","015881"
"Ugg079uhngX_GXgCoAEC","018983"
"Ugg0oXg8gSCxAHgCoAEC","019529"
"Ugg1TZibCkrDd3gCoAEC","019609"
"Ugg2VzvrLVBXJngCoAEC","006962"
"Ugg2stRlVGxXD3gCoAEC","019563"
"Ugg3ZtxjoB2k6HgCoAEC","018963"
"Ugg3wPlVG78SCHgCoAEC","019612"
"Ugg3zXuQSnPREHgCoAEC","018954"
"Ugg4cBI_nDNm5ngCoAEC","003865"
"Ugg4lebqCvsnZXgCoAEC","003866"
"Ugg5FyVMBZFlcXgCoAEC","019594"
"Ugg5GLHjCqW2PHgCoAEC","019635"
"Ugg5KzPWKZvjcngCoAEC","015915"
"Ugg5U2p6iLumhngCoAEC","018946"
"Ugg5i9rk-OdCJ3gCoAEC","003896"
"Ugg6RzQJcVRLBXgCoAEC","000512"
"Ugg70mvQvgM2mngCoAEC","022657"
"Ugg7XdSHAT8F2XgCoAEC","003852"
"Ugg7emXZFjq-UXgCoAEC","015939"
"Ugg8JxJD2-BCpHgCoAEC","003871"
"Ugg8rBLmzOBjzXgCoAEC","015894"
"Ugg9CQirx4QfDngCoAEC","000570"
"Ugg9tE0NZXVrj3gCoAEC","015920"
"UggB3AlrUfFtHXgCoAEC","011100"
"UggBGY_fKn30F3gCoAEC","003914"
"UggCalxErxLg8ngCoAEC","006355"
"UggCbmuMlVIY_XgCoAEC","003935"
"UggCypDN9z1pTngCoAEC","000513"
"UggDkUe4CcD9eHgCoAEC","019545"
"UggE1Mq71Bdd7XgCoAEC","019571"
"UggFb_7wT18PsngCoAEC","019049"
"UggG7dU19Dobt3gCoAEC","019576"
"UggGXMG15kmjxHgCoAEC","003899"
"UggHYWMPeGQqpHgCoAEC","000541"
"UggHxiajVxiHLHgCoAEC","015854"
"UggIEau1YKMbUHgCoAEC","022663"
"UggJh_BeOmcEIngCoAEC","012943"
"UggKCu3cj9gz43gCoAEC","015870"
"UggKVk2_gxeOK3gCoAEC","000523"
"UggKW2lH-tdafngCoAEC","019604"
"UggKeEtsLbWakHgCoAEC","003879"
"UggL9EXpjHK7b3gCoAEC","019629"
"UggL9aiQgp6p5XgCoAEC","019570"
"UggLQAMzAbO3v3gCoAEC","000627"
"UggM4Y_Cr-FMTXgCoAEC","003838"
"UggMaxvJ3Kl4BHgCoAEC","003960"
"UggP8Y0fkXNGmHgCoAEC","015913"
"UggQAJK4MWiaYXgCoAEC","003853"
"UggQUq6TycbfKHgCoAEC","003956"
"UggQXB2UG4P9_HgCoAEC","019555"
"UggQsz0IdQ9fangCoAEC","003913"
"UggRQlELbJG5m3gCoAEC","019025"
"UggRXfFp3LgfB3gCoAEC","000631"
"UggR_NdQ9qVAiHgCoAEC","015305"
"UggSYmjxBLV55HgCoAEC","000596"
"UggT-iWnQAlNqngCoAEC","000590"
"UggT26wfdkko1HgCoAEC","015300"
"UggTSob_qVawsXgCoAEC","000511"
"UggTxkInkYjIH3gCoAEC","003971"
"UggUZDWBN02rRngCoAEC","015297"
"UggVLgMKqg4r_XgCoAEC","000636"
"UggWG7zVDA6J1XgCoAEC","018913"
"UggWTMOiCger-ngCoAEC","019649"
"UggWgT9Fi-el_HgCoAEC","019535"
"UggXuGZJuPRhfHgCoAEC","010193"
"UggYV7Gd6bFi4ngCoAEC","006981"
"UggZN4CNkJPhlXgCoAEC","000559"
"UggaRP7W9QWbR3gCoAEC","003901"
"UggatZGX78uia3gCoAEC","015858"
"UggbnTWFeiQRangCoAEC","003864"
"UggbonIdF1CIVngCoAEC","003848"
"UggbqgRjxCrlN3gCoAEC","000558"
"UggdAHLBm-qy73gCoAEC","003983"
"UggdGNwEII1qLHgCoAEC","019523"
"UggdbYAGHo0B6ngCoAEC","000524"
"UggfTwLOR2wSkHgCoAEC","015943"
"UggffPosLHk2iXgCoAEC","018992"
"UgggVGxOVNLKqXgCoAEC","018920"
"Uggg_ziW-PqO9HgCoAEC","018985"
"UgghnLVKQpbtVngCoAEC","001299"
"UggiYvGQJj0-YXgCoAEC","019534"
"Uggimp_jL13w8ngCoAEC","003987"
"UggjPex99-1sQngCoAEC","000632"
"Uggjd3VAjCF4AHgCoAEC","018984"
"UggjvMCMMwv21XgCoAEC","006953"
"UggkjgTf3LCSKXgCoAEC","019601"
"UgglTMhD2_-CungCoAEC","003927"
"UgglbQTZ_ooqdngCoAEC","003908"
"Uggm-raZCSA0GHgCoAEC","000591"
"UggmOIml6esidXgCoAEC","018945"
"UggnyyKQtAnvzXgCoAEC","003863"
"UggocQx-eEc_v3gCoAEC","010195"
"UggocmM_l-oLuXgCoAEC","018956"
"UggofO3lZLOYnHgCoAEC","015887"
"UggpveTth23bZXgCoAEC","010190"
"Uggq7LdUwwcDcngCoAEC","015888"
"UggtK3FFU1TvG3gCoAEC","019621"
"UggtUSvYPmRnIngCoAEC","018943"
"Uggve7UDnB2BGngCoAEC","018968"
"Uggw4di_4bAjNXgCoAEC","018998"
"Uggw4vgsW1DoMXgCoAEC","000526"
"UggwQg1Bj3Cw7HgCoAEC","019045"
"UggwSXe3YICrp3gCoAEC","015903"
"UggwqZSCn5uc33gCoAEC","019611"
"Uggx-uGIxuH03HgCoAEC","000547"
"Uggy7iUI4zgYa3gCoAEC","018980"
"UggyP_LVTMwb13gCoAEC","015863"
"UggyuaLHn5Bv93gCoAEC","018927"
"Uggyv4pn6bdzTHgCoAEC","018951"
"Uggz0ztcSyTQ-ngCoAEC","015946"
"Uggz5N7AczuINngCoAEC","011071"
"Uggz8e30mK7KyXgCoAEC","019543"
"Ugh-VG24eDNhf3gCoAEC","018924"
"Ugh-Wks-Bb1eI3gCoAEC","006951"
"Ugh-u2QkvZ6eZ3gCoAEC","022639"
"Ugh0R6tPC6aeQngCoAEC","015873"
"Ugh0X-SOmWSqzXgCoAEC","015848"
"Ugh0p_0b-sfUnngCoAEC","000616"
"Ugh0x8DwtOACV3gCoAEC","015921"
"Ugh1J5klBxmERHgCoAEC","003921"
"Ugh2f56hraxjDXgCoAEC","018971"
"Ugh3IyrEoeRusHgCoAEC","015886"
"Ugh3dYP6RzqcO3gCoAEC","019530"
"Ugh3yLkruWCEAXgCoAEC","018915"
"Ugh4HDhjht8TCngCoAEC","019010"
"Ugh4bgDn1Ng3eXgCoAEC","003906"
"Ugh4iblTW_yUZXgCoAEC","000540"
"Ugh4kJfwuyHPNXgCoAEC","019655"
"Ugh5EatXbYqdnHgCoAEC","003990"
"Ugh5QPjYT5c9iXgCoAEC","019544"
"Ugh5UxG-ChpdC3gCoAEC","003873"
"Ugh631narvk--XgCoAEC","003929"
"Ugh6UCpeFtEbhHgCoAEC","019547"
"Ugh7CRVnWdObjXgCoAEC","000625"
"Ugh7FF0VU8lNbXgCoAEC","015303"
"Ugh7lGO2YBn6hHgCoAEC","003949"
"Ugh7qgV2HUxRgHgCoAEC","011080"
"Ugh86s-MsZMnRHgCoAEC","015916"
"Ugh89jghyX1QzHgCoAEC","000552"
"Ugh8eJRPYaXMa3gCoAEC","019527"
"Ugh9A1XMGN7mMXgCoAEC","019615"
"UghADpXsDXyedXgCoAEC","003948"
"UghAkd9PMnyx4HgCoAEC","022658"
"UghAoIUPao8QQngCoAEC","015302"
"UghApOSWLrqW1HgCoAEC","000562"
"UghBEViRS3jndHgCoAEC","022664"
"UghBxk3zcuW8uXgCoAEC","019582"
"UghCPguNBQrZqHgCoAEC","003963"
"UghCTl7iNSXFHXgCoAEC","000604"
"UghCX6O1KU920HgCoAEC","018977"
"UghCz7VoHR4R1ngCoAEC","018919"
"UghD-BX9KZjjc3gCoAEC","011126"
"UghDG4RzOx8llXgCoAEC","011087"
"UghDSixsxxSf03gCoAEC","015899"
"UghDmjv6b2K_qngCoAEC","015892"
"UghDy4fjkXPBj3gCoAEC","015285"
"UghEO1wqA9I5E3gCoAEC","019653"
"UghEUEq6L1aLaHgCoAEC","015928"
"UghEjWN0M4z2nXgCoAEC","003850"
"UghEsAoMqv2K53gCoAEC","003874"
"UghF1Zilt0nEIHgCoAEC","022650"
"UghFcXIyRmmkhXgCoAEC","003836"
"UghGtdYHVPXGnXgCoAEC","003881"
"UghHa50asulOG3gCoAEC","018947"
"UghIffycJVimEngCoAEC","000517"
"UghKtwH2hWoRYngCoAEC","015882"
"UghKw1MPAs-bfngCoAEC","019546"
"UghKxDvu8Uwyt3gCoAEC","015933"
"UghL4_tW7zTdbHgCoAEC","019632"
"UghL6jD2MX9TingCoAEC","015283"
"UghLMWkaPXub8XgCoAEC","019000"
"UghLUDwsFHVyhngCoAEC","019528"
"UghL_VdOpMiGT3gCoAEC","003857"
"UghMkbciencnmHgCoAEC","018961"
"UghN-01DfDXcQ3gCoAEC","003902"
"UghNBUDOK9ZoM3gCoAEC","015296"
"UghNKsktN3gob3gCoAEC","018953"
"UghNkYTIR844PHgCoAEC","000563"
"UghOJgd9E42FW3gCoAEC","015845"
"UghO_f1uieLNKHgCoAEC","011082"
"UghO_ufks2ktvHgCoAEC","015917"
"UghPLgCgKRX2YngCoAEC","019569"
"UghQT9MpHbVHkngCoAEC","000537"
"UghQkA77eMxDvXgCoAEC","018986"
"UghRSNHsqTpklHgCoAEC","019554"
"UghTKw30hmwnvXgCoAEC","018952"
"UghUL9A8dq2AmngCoAEC","015880"
"UghUy3-ckjVkmngCoAEC","015893"
"UghVqHDKc_GNMngCoAEC","003846"
"UghVqxEaFijsl3gCoAEC","003985"
"UghWV0NuWGybvXgCoAEC","000518"
"UghWf4LW4ODkAXgCoAEC","000530"
"UghWpvidW3Ry1HgCoAEC","019566"
"UghX_DJadI7cwXgCoAEC","019606"
"UghYigAKt2uDw3gCoAEC","019561"
"UghYuUBbl0px1XgCoAEC","000622"
"UghZYG2lVcQkz3gCoAEC","003915"
"UghZpXt8xdJpJHgCoAEC","011097"
"UghZzBI7AjoVb3gCoAEC","000519"
"Ugh_GTOmngdChHgCoAEC","022653"
"Ugh_gxjiFBVf73gCoAEC","015292"
"UghaH-XEvAepMXgCoAEC","022651"
"UghagQREum8wcHgCoAEC","015844"
"UghbN9h9WOQQZXgCoAEC","000640"
"Ughc2aqsYTsimXgCoAEC","015883"
"Ughck4HdToGRNXgCoAEC","019002"
"Ughdfs9oY2b-6ngCoAEC","015291"
"UgheCPNzWLxvhXgCoAEC","015934"
"UgheUBrnTfYOsXgCoAEC","022665"
"Ugheq5ysW1paFHgCoAEC","000527"
"Ughg9sSURjMiSngCoAEC","003900"
"UghgVysXmxPNbXgCoAEC","000525"
"Ughh8IHmhriVYXgCoAEC","006963"
"UghhwFgWRhmDXXgCoAEC","011122"
"UghiMxWa9kKHvngCoAEC","003837"
"Ughjjmm7g8D7HXgCoAEC","019656"
"Ughk8f6XFqDrN3gCoAEC","007096"
"UghlByHXvHt_GHgCoAEC","006948"
"Ughli6X5A78Yh3gCoAEC","019657"
"Ughn9j-fIwco9ngCoAEC","003907"
"UghodwG-3Ab0bXgCoAEC","022648"
"UghpO_0ja-jB8ngCoAEC","019519"
"UghpwQPcYuGgf3gCoAEC","019522"
"Ughq1qUPK0UEJXgCoAEC","019663"
"UghqpJf17TLuyngCoAEC","000548"
"Ughr3ppiJ-M4r3gCoAEC","019599"
"Ughry3ehNaqbuXgCoAEC","019573"
"UghshIKPcbz8GngCoAEC","010184"
"UghsmFHrJTqCMngCoAEC","015872"
"Ught5cvWSZmGWngCoAEC","015284"
"UghtALtRMHvAyngCoAEC","006369"
"UghtAlYEVHc7W3gCoAEC","011075"
"UghtL9d9YEDmDXgCoAEC","006976"
"Ughtnp8bNXvsH3gCoAEC","003909"
"Ughtnu6cL9iD7XgCoAEC","003843"
"UghuO61HVjPWT3gCoAEC","018940"
"UghuRbeVHzDT-3gCoAEC","019031"
"UghucWhbyzirrHgCoAEC","011065"
"UghvGJoD3nbaH3gCoAEC","000599"
"UghvKpdfOEmDZ3gCoAEC","019581"
"UghvnVGA7J8SXngCoAEC","018981"
"UghvxmRHOiCNIHgCoAEC","003920"
"Ughw6zg_uLsDg3gCoAEC","015885"
"UghwkMy6Pqd3N3gCoAEC","019520"
"UghxN0pmY0QU03gCoAEC","018930"
"UghxXPmeSUKk3ngCoAEC","011109"
"Ughxn5N_LeTNJXgCoAEC","015930"
"UghxxEdt6wRwKngCoAEC","011128"
